File,Panjang,Keliling,Diameter,Luas,Faktor bentuk,ASM 0,ASM 45,ASM 90,ASM 135,Kontras 0,Kontras 45,Kontras 90,Kontras 135,IDM 0,IDM 45,IDM 90,IDM 135,Entropy 0,Entropy 45,Entropy 90,Entropy 135,Korelasi 0,Korelasi 45,Korelasi 90,Korelasi 135,Jenis
Gambar baru\Avicennia alba\avicennia_alba90.jpg,362.0414340928397,2667.383898496628,304.0948816789698,259393.5,2.1827404529556906,0.0006065936939549988,0.0005162571616187916,0.0008436682738133265,0.0005961675641259341,40.96498899217298,68.47480286916743,21.352865857388107,42.302135791452834,0.3409360089605657,0.30586095601661173,0.41796373192337694,0.3368252992005023,11.496119113567673,11.795862161104186,10.99288623970795,11.531048370257324,0.9884838953113881,0.9807530312921022,0.9940002984375514,0.9881096960438454,1
Gambar baru\Lumnitzora littorea\Lumnitzora littorea28.JPG,164.80594649465777,729.7371487617493,117.82189474417856,28499.5,1.48691384799673,0.8076810410905289,0.8062228582216956,0.8075710677061891,0.8071314971398745,31.203675391389606,70.62526568142736,34.21158726761271,34.2658614205677,0.9188150493139506,0.9152196089090354,0.918397555442824,0.9169690714092732,1.590542895550946,1.6259646367164222,1.593753875024111,1.608237061255184,0.9950504839096577,0.9888170207844711,0.994573369978592,0.9945742587674357,4
Gambar baru\Bruguiera cylindrica\Bruguiera cylindrica102.jpg,227.26416347501865,1140.6732199192047,115.04629529988242,19455.5,5.321943144327175,0.8738720079730005,0.8727195037392078,0.8738148880745557,0.872202884521446,44.35737983121348,45.94639266853282,59.975973886986445,126.40535230793346,0.9491928303334541,0.9489218798776742,0.9485053111156077,0.9453932595552277,1.0711705676256509,1.0751044990283836,1.0794360866364485,1.1113563965881883,0.9891096523570997,0.988740372705201,0.9852750724155493,0.9690230925129842,2
Gambar baru\Avicennia alba\avicennia_alba16.jpg,362.0414340928397,2511.5361388921738,299.12660174316136,259785.5,1.9322089622141465,0.0006583278001423593,0.0005202140547469759,0.0008446221855247802,0.0006317892012806763,31.298797547701177,59.641468897560415,24.128417013209862,35.739714538470785,0.321354395589427,0.2734187204019433,0.38188464598571625,0.30480349727501505,11.33382756020638,11.687718183347425,10.952529497342212,11.44142568284833,0.9890214315750192,0.9790740071298903,0.9915346291116426,0.9874601766176377,1
Gambar baru\Bruguiera gymnorrhiza\Bruguiera gymnorrhiza116.jpg,361.33225707096784,2270.489457130432,307.2728029251068,260661.0,1.5738127457030449,0.00021365197254771402,0.0001528452863025861,0.00013768100866718265,0.00014209374487296974,278.7347992600294,440.66659900965374,609.9624548984874,544.3214716549028,0.0987028804536121,0.06734084664281838,0.062278072242860506,0.06244709333671312,12.799104879967366,13.135841235799068,13.2353835235351,13.21142955212609,0.9229180524418582,0.8782448050107061,0.8312471923417193,0.8496050460812655,3
Gambar baru\Xylocarpus granatum\Xylocarpus granatum80.JPG,225.61028345356956,1170.531087398529,178.41383017580046,87551.5,1.2453529375335084,0.4584434341902882,0.45614938822621015,0.45786461137730877,0.4566717613376071,20.2586457314094,50.828688615622454,33.02703033268155,46.89943742556154,0.8030843093264051,0.787284502819726,0.8086739059175225,0.7871017339382327,3.9591872452248253,4.070429611358465,3.9470743920404177,4.063299291139142,0.99860156618066,0.9964953755502902,0.9977201775093045,0.9967662963661612,9
Gambar baru\Senoratia alba\sonneratia_alba10.jpg,361.33225707096784,2311.3767585754395,304.404764377326,260476.0,1.6321644188991438,0.0005696786846914339,0.000509541453920086,0.0007357660845117074,0.0005038545553007566,47.656834790852244,59.676755220759034,22.956736943493546,63.37371946338992,0.2942805064024614,0.27011381107262145,0.3507884683068439,0.2680944715355165,11.514162098769,11.696012983287982,11.086548560348632,11.712631944206708,0.9874209437085009,0.9842466531044715,0.9939413101695556,0.983270728439914,8
Gambar baru\Avicennia alba\avicennia_alba32.jpg,361.33225707096784,2265.754394888878,300.2508265532487,260556.0,1.5678868573570668,0.0005961106138074004,0.0005343869544959365,0.0007900932749957811,0.0005419530574455304,103.76076703155687,120.86199118416368,41.734233579990985,140.92546367392617,0.2845420036771797,0.26018831871424764,0.3522246010031666,0.2643014993489882,11.890924145646693,12.032985081252129,11.294382782779323,12.088625866170716,0.9701125893804095,0.9652017921161178,0.9879850865496995,0.9594248178468316,1
Gambar baru\Lumnitzora littorea\lumnitzera_littorea44.jpg,361.33225707096784,2622.430582046509,270.70084406232945,259324.0,2.1103545540252817,0.0006926420408143126,0.0006141915846618254,0.0009441622111952254,0.0006123815239398246,25.535672241928214,35.51090873579665,11.449146128914007,33.757292596153,0.3502952306268443,0.32044696142911194,0.42483933716536815,0.3235446178300161,11.240513575110292,11.438813626350074,10.7240896609878,11.426509463278503,0.9913360106169783,0.9879510907734003,0.9961191110737271,0.9885462158733805,4
Gambar baru\Senoratia alba\sonneratia_alba61.jpg,361.33225707096784,2206.4995616674423,307.3349881656235,260786.0,1.4856398970235578,0.0007814982743081337,0.0006233529624297225,0.0007081036602000499,0.0005997171926750317,302.9359023361134,402.2619168891091,215.75774370108115,397.4707089816645,0.2494177902849108,0.20614774810132402,0.24219317904199741,0.20338004226858056,12.425242701971198,12.746753367856186,12.366007440763198,12.777287283250239,0.9356191903709073,0.9144604493351415,0.9541198423365675,0.9154794359168872,8
